Type,Cons_per_e,Itinerary,Avg_Slope,Shape_Leng
Main Road,Gaius Flaminius Nepos (220-219 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Flaminia",2.100299877,45593.48181
Main Road,,,5.290121174,37028.43607
Main Road,,,5.360981109,502.1072432
Main Road,,,5.482545641,54720.56603
Main Road,,,5.1201785,6232.999567
Secondary Road,,,5.642116461,17651.37966
Secondary Road,,,4.216511535,12140.06844
Secondary Road,,,5.94456779,27363.46237
Main Road,Marcus Aemilius Lepidus (189-187 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aemilia",0.919551798,30939.08949
Main Road,Marcus Aemilius Lepidus (189-187 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aemilia",1.159369803,26740.55393
Main Road,Marcus Aemilius Lepidus (189-187 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aemilia",1.001366248,31250.8631
Main Road,Marcus Aemilius Lepidus (189-187 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aemilia",1.108438799,25523.80465
Main Road,Marcus Aemilius Lepidus (189-187 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aemilia",1.129305855,32004.26282
Main Road,Marcus Aemilius Lepidus (189-187 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aemilia",1.233883019,18890.33483
Main Road,Marcus Aemilius Lepidus (189-187 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aemilia",1.516883366,5453.39025
Main Road,Marcus Aemilius Lepidus (189-187 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aemilia",1.36459119,3257.996895
Main Road,Marcus Aemilius Lepidus (189-187 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aemilia",1.012323283,58353.35285
Main Road,Marcus Aemilius Lepidus (189-187 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Aemilia",0.940293171,26681.95684
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia",0.69381105,30294.24696
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia",0.576362881,15480.8301
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Via Popillia",0.672430349,63112.20013
Secondary Road,,Tabula Peutingeriana,0.87035951,34448.60471
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Via Popillia",0.676508673,20103.46043
Main Road,Titus Annius Rufus (131 BCE),Via Annia,0.707025064,41150.24375
Main Road,Titus Annius Rufus (131 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Annia",0.997238826,23977.06491
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Via Popillia",0.75370682,9327.001682
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",1.683685791,14247.62521
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",1.104279096,21426.2257
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",2.735415996,693.9579561
Main Road,,Tabula Peutingeriana,1.022202345,14263.25163
Secondary Road,,,1.56632039,7374.573867
Main Road,,Tabula Peutingeriana,1.095880096,6738.515334
Main Road,,Tabula Peutingeriana,1.611618259,14013.07288
Main Road,,,1.106540215,15066.74795
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",3.273426684,478.5452699
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",0.955722284,739.596331
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",0.968826831,30027.38297
Secondary Road,,,4.450109177,480.549928
Secondary Road,,,1.107422118,38493.42388
Main Road,Trajan (108-110 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Traiana",1.023383615,24537.60454
Main Road,Trajan (108-110 CE),"Tabula Peutingeriana, Via Traiana",1.247075423,16526.91828
Main Road,Trajan (108-110 CE),"Tabula Peutingeriana, Via Traiana",1.271575907,263.377547
Main Road,Trajan (108-110 CE),"Tabula Peutingeriana, Via Traiana",1.366692982,40857.22001
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",1.279318065,15518.04674
Main Road,,Itinerarium Antonini,1.334661955,6983.632174
Main Road,Trajan (108-110 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Traiana",0.809901665,32269.49484
Secondary Road,,,0.9349531,48442.89997
Secondary Road,,,1.335492272,33844.42892
Secondary Road,,Tabula Peutingeriana,1.121651018,18652.38862
Secondary Road,,Tabula Peutingeriana,1.00256112,56306.6086
Secondary Road,,,1.087066157,24370.6573
Secondary Road,,,1.052139616,13715.42648
Secondary Road,,,3.216318801,5757.362023
Secondary Road,,,6.720641366,4626.593477
Main Road,,Itinerarium Antonini,7.307582346,2184.081187
Main Road,,Itinerarium Antonini,5.006936664,39543.9751
Main Road,,Tabula Peutingeriana,1.10096507,4963.727346
Main Road,,Tabula Peutingeriana,1.839668536,301.5644594
Main Road,,Tabula Peutingeriana,0.932239949,9250.416873
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Itinerarium Antonini, Via Appia",0.679390734,4940.933393
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Itinerarium Antonini, Via Appia",1.771815052,21602.38917
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Itinerarium Antonini, Via Appia",1.199532938,41063.97937
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",6.065274076,1279.62709
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",4.27796432,2590.151601
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",6.230301021,971.607237
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",5.024993866,39014.22318
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",4.70992246,8352.024221
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",4.037506496,8262.561089
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",3.547613803,29271.09246
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",3.153084259,23735.35466
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",2.666102026,266.0420633
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",2.285679337,18503.28838
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",1.583357716,22224.23536
Main Road,Lucius Cornelius Scipio Asiaticus and Gaius Laelius (190 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",0.916704816,13014.51816
Main Road,Appius Claudius Caecus (312 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",0.72105406,20341.92957
Main Road,Appius Claudius Caecus (312 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",1.29773591,5525.745144
Main Road,Appius Claudius Caecus (312 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",3.380135779,17466.83516
Main Road,Appius Claudius Caecus (312 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",3.530121465,18376.12547
Main Road,Appius Claudius Caecus (312 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Appia",1.392589899,62848.43149
